Outcome,,Proportion of extension services that go to crops primarily produced by women,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
Outcome,,Numbers of female/male extension workers,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
Output,E-1-14,Number and percentage of assessed formal and informal learning environments that are considered safe for boys and girls of different ages,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Protection and Well-being,Schools/ Learning Spaces that are safe and protective,,Facility,Schools/ Learning spaces,,,,,Specific to Country,Child Protection,,"Surveys, Reviews of Official Records",not available,Total number of learning spaces assessed in affected area,Number of affected school/learning spaces assessed safe and protective,,,,,,,,http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1103 http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1064,,No,,,,
Outcome,E-1-17,Number and percentage of emergency affected children/youth (3-18 years) accessing to emergency education programmes that incorporate nutrition interventions,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Children and Youth with access to schools with nutrition programmes,,Individual,Children,,,,,Specific to Country,"INEE, SPHERE Food security and nutrition chapter",,"Surveys, Reviews of Official Records",not available,Total number of affected children (3-18 years),Number of affected children (3-18 years) with access to emergency education programmes that incorporate nutrition interventions,,,,,,,,,,No,,,,
Output,E-1-17,Number and percentage of emergency affected children/youth (3-18 years) accessing to emergency education programmes that incorporate nutrition interventions,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Children and Youth with access to schools with nutrition programmes,,Individual,Children,,,,,Specific to Country,"INEE, SPHERE Food security and nutrition chapter",,"Surveys, Reviews of Official Records",not available,Total number of affected children (3-18 years),Number of affected children (3-18 years) with access to emergency education programmes that incorporate nutrition interventions,,,,,,,,,,No,,,,
Outcome,E-1-18,Percentage of affected schools/learning spaces with feeding programmes,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Schools/learnnig spaces with feeding programmes,,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, SPHERE Food security and nutrition chapter",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,,,Yes,,,,
Outcome,E-1-18,Percentage of affected schools/learning spaces with feeding programmes,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools with health programs,,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, SPHERE Food security and nutrition chapter",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,,,Yes,,,,
Outcome,E-1-18,Percentage of affected schools/learning spaces with feeding programmes,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools/learning spaces with active recreational sports education programs for boys and girls,,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, SPHERE Food security and nutrition chapter",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,,,Yes,,,,
Output,E-1-18,Percentage of affected schools/learning spaces with feeding programmes,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools/learning spaces with active recreational sports education programs for boys and girls,,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, SPHERE Food security and nutrition chapter",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,,,Yes,,,,
Output,E-1-18,Percentage of affected schools/learning spaces with feeding programmes,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools/learning spaces with active recreational sports education programs for boys and girls,,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, SPHERE Food security and nutrition chapter",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,,,Yes,,,,
Output,E-1-18,Percentage of affected schools/learning spaces with feeding programmes,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools/learning spaces with active recreational sports education programs for boys and girls,,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, SPHERE Food security and nutrition chapter",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,,,Yes,,,,
Outcome,E-1-19,Percentage of schools/learning spaces structures that meet the mimumun safe construction standards,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Schools/learning spaces meet safe construction standards,,Facility,Schools/ Learning spaces,,,,,Specific to Country,INEE,,"Surveys, Reviews of Official Records",not available,,,,,,,,,,"See Guidance Notes on Safer School Construction: The Guidance Notes briefly address the need and rationale for safer school buildings; recommend a series of suggested steps that highlight key points that should be considered when planning a safer school construction and/or retrofitting initiative; and identify basic design principles and requirements a school building must meet to provide a greater level of protection. Finally, the Guidance Notes provide a list of key resources for more detailed, technical and context-specific information. http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1005",,Yes,,,,
Output,E-1-19,Percentage of schools/learning spaces structures that meet the mimumun safe construction standards,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Schools/learning spaces meet safe construction standards,,Facility,Schools/ Learning spaces,,,,,Specific to Country,INEE,,"Surveys, Reviews of Official Records",not available,,,,,,,,,,"See Guidance Notes on Safer School Construction: The Guidance Notes briefly address the need and rationale for safer school buildings; recommend a series of suggested steps that highlight key points that should be considered when planning a safer school construction and/or retrofitting initiative; and identify basic design principles and requirements a school building must meet to provide a greater level of protection. Finally, the Guidance Notes provide a list of key resources for more detailed, technical and context-specific information. http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1005",,Yes,,,,
Outcome,E-1-20,Percentage of schools/learning spaces accessible for children with physical and or learning disabilities,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Schools accessible for children with disabilites (physical and or learning disabiliies),,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, SPHERE",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,See INEE Pocket Guide to Supporting Learners with Disabilities which offers practical ideas for including children and young people with disabilities.http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1138 See Pocket Guide to Supporting Learners with Disabilities Implementation Tools for useful resources and tools: http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1139,,Yes,,,,
Output,E-1-20,Percentage of schools/learning spaces accessible for children with physical and or learning disabilities,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Schools accessible for children with disabilites (physical and or learning disabiliies),,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, SPHERE",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,See INEE Pocket Guide to Supporting Learners with Disabilities which offers practical ideas for including children and young people with disabilities.http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1138 See Pocket Guide to Supporting Learners with Disabilities Implementation Tools for useful resources and tools: http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1139,,Yes,,,,
Outcome,E-1-21,Percentage of affected marganalised children (3-18 years) attending school?,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Marganlised children attending school. Marganalised to be defined locally,,Individual,Children,,,,,Specific to Country,"INEE, SPHERE",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,See Pocket Guide to Inclusive Education http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1007,,Yes,,,,
Output,E-1-21,Percentage of affected marganalised children (3-18 years) attending school?,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Marganlised children attending school. Marganalised to be defined locally,,Individual,Children,,,,,Specific to Country,"INEE, SPHERE",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,See Pocket Guide to Inclusive Education http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1007,,Yes,,,,
Outcome,E-1-22,Percentage of affected Teachers and other Education Personnel receving pschosocial support,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Protection and Well-being,Affected education personnel receiving psychosocial support,,Individual,Education Personnel,,,,,Specific to Country,"INEE, SPHERE",,Reviews of Official Records,not available,,,,,,,,,,See INEE Psychosocial support guidance and implementing materials http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1065 http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1104,,Yes,,,,
Output,E-1-22,Percentage of affected Teachers and other Education Personnel receving pschosocial support,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Protection and Well-being,Affected education personnel receiving psychosocial support,,Individual,Education Personnel,,,,,Specific to Country,"INEE, SPHERE",,Reviews of Official Records,not available,,,,,,,,,,See INEE Psychosocial support guidance and implementing materials http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1065 http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1104,,Yes,,,,
Outcome,E-1-23,Percentage of affeceted schools/learning spaces with adequate quantites of safe water for drinking and personal hygiene,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Affected schools with adequate supplies of safe water for drinking and hygiene purposes,,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, Sphere: Shelter and settlement standard 1: Strategic planning, Sphere: Water supply standard 1: Access and water quantity",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,,,Yes,,,,
Output,E-1-23,Percentage of affeceted schools/learning spaces with adequate quantites of safe water for drinking and personal hygiene,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Facilities and services,Affected schools with adequate supplies of safe water for drinking and hygiene purposes,,Facility,Schools/ Learning spaces,,,,,Specific to Country,"INEE, Sphere: Shelter and settlement standard 1: Strategic planning, Sphere: Water supply standard 1: Access and water quantity",,"Surveys, Reviews of Official Records",not available,,,,,,,,,,,,Yes,,,,
Outcome,E-2-01,Percentage of emergency affected learning spaces/ schools in target areas incorporating psycho-social support,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools providing Psychosocial support,,Facility,Schools/ Learning spaces,,,,,Specific to Country,INEE,,Reviews of Official Records,not available,,,,,,,,,,,,No,,,,
Output,E-2-01,Percentage of emergency affected learning spaces/ schools in target areas incorporating psycho-social support,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools providing Psychosocial support,,Facility,Schools/ Learning spaces,,,,,Specific to Country,INEE,,Reviews of Official Records,not available,,,,,,,,,,,,No,,,,
Outcome,E-2-02,Percentage of emergency affected learning spaces/ schools in affected areas where children and youth receive key messages on emergency life skills,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools providing Life skills,,Facility,Schools/Learning Spaces,,,,,Specific to Country,"INEE, SPHERE",,Reviews of Official Records,not available,Total number of affected schools/learning spaces,Number of emergency affected learning spaces/schools where children and youth receive key messages on emergency life skills,,,,,,,,See INEE Life Skills and Complementary Education Guidance: http://www.ineesite.org/en/resources/life_skills_and_complementary_education See Life Skills for Adolescents: http://www.ineesite.org/en/resources/life_skills_for_adolescents,,No,,,,
Output,E-2-02,Percentage of emergency affected learning spaces/ schools in affected areas where children and youth receive key messages on emergency life skills,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools providing Life skills,,Facility,Schools/Learning Spaces,,,,,Specific to Country,"INEE, SPHERE",,Reviews of Official Records,not available,Total number of affected schools/learning spaces,Number of emergency affected learning spaces/schools where children and youth receive key messages on emergency life skills,,,,,,,,See INEE Life Skills and Complementary Education Guidance: http://www.ineesite.org/en/resources/life_skills_and_complementary_education See Life Skills for Adolescents: http://www.ineesite.org/en/resources/life_skills_for_adolescents,,No,,,,
Outcome,E-2-03,Percentage of emergency affected learning spaces/ schools in target areas where children and youth receive key messages on DRR,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools providing DRR key messages,,Facility,Schools/Learning Spaces,,,,,Specific to Country,INEE,,Reviews of Official Records,not available,Total number of affected learning spaces/schools,Number of affected learning spaces/schools where children and youth receive key messages on DRR in target areas,,,,,,,,See INEE DDR Guidance and Implementing Materials http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1054 http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1097,,No,,,,
Output,E-2-03,Percentage of emergency affected learning spaces/ schools in target areas where children and youth receive key messages on DRR,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Curricula,Schools providing DRR key messages,,Facility,Schools/Learning Spaces,,,,,Specific to Country,INEE,,Reviews of Official Records,not available,Total number of affected learning spaces/schools,Number of affected learning spaces/schools where children and youth receive key messages on DRR in target areas,,,,,,,,See INEE DDR Guidance and Implementing Materials http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1054 http://toolkit.ineesite.org/toolkit/Toolkit.php?PostID=1097,,No,,,,
Output,E-3-1,Percentage of affected teachers teaching in affected area,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Recruitment and Selection,Teachers teaching in affected area,,Individual,Education Personnel,,,,,Specific to Country,INEE,,Reviews of Official Records,not available,Total number number of affected teachers,Number of affected teachers teaching,,,,,,,,,,Yes,,,,
Output,E-3-1,Percentage of affected teachers teaching in affected area,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,Recruitment and Selection,Teachers teaching in affected area,,Individual,Education Personnel,,,,,Specific to Country,INEE,,Reviews of Official Records,not available,Total number number of affected teachers,Number of affected teachers teaching,,,,,,,,,,Yes,,,,
Outcome,E-4-1,Percentage of MoE officials at sub-national level in emergency affected areas attending training in EiE,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,E4.1 Law and Policy Formulation,Local MoE officials trained in EiE,,Individual,Public sector employee,,,,,Specific to Country,INEE,,Reviews of Official Records,not available,Number of MoE officials in emergency affected areas,Number of moe officials at sub-national level in emergency affected areas trained in Education in Emergencies (EIE)),,,,,,,,,,No,,,,
Output,E-4-2,Percentage of MoE officials at sub-national level in emergency affected areas attending training in EiE,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Education,E4.1 Law and Policy Formulation,Local MoE officials trained in EiE,,Individual,Public sector employee,,,,,Specific to Country,INEE,,Reviews of Official Records,not available,Number of MoE officials in emergency affected areas,Number of moe officials at sub-national level in emergency affected areas trained in Education in Emergencies (EIE)),,,,,,,,,,No,,,,
Outcome,P1-PC4-4,"Percentage of Child Friendly Spaces where structured age appropriate CFS activities are implemented based on needs identified by girls, boys and families",UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Protection,Psychosocial distress and mental disorders,,"Note that this relates to CP minimum standard 17: ""Child friendly spaces""",Facility,Percentage,,,"When responding to this need, consider including indicators from Mimimum Standards 16 and 18",,,,,Field Monitoring,not available,Estimated number of affected children,"Estimated number of children with safe access to child friendly spaces for socialising, play, learning , etc",,,,,,,,,,No,,,,
Output,P1-PC4-4,"Percentage of Child Friendly Spaces where structured age appropriate CFS activities are implemented based on needs identified by girls, boys and families",UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Protection,Psychosocial distress and mental disorders,,"Note that this relates to CP minimum standard 17: ""Child friendly spaces""",Facility,Percentage,,,"When responding to this need, consider including indicators from Mimimum Standards 16 and 18",,,,,Field Monitoring,not available,Estimated number of affected children,"Estimated number of children with safe access to child friendly spaces for socialising, play, learning , etc",,,,,,,,,,No,,,,
Outcome,R-9,Number and percentage of population directly affected by problematic rubble/debris,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Early Recovery,Basic Infrastructure Restoration,"Debris or rubble is the material from the damage or destruction that results from some disasters. It includes wreckage from everything that could possibly be destroyed or damaged, as well as materials brought in by a catastrophic event. ""Problematic"" refers to situations where such debris causes immediate physical and psychological barriers for emergency relief and recovery activities.","The guidance per phase will specify alternatively roads, services, etc.: Depending on the situation and phase, the following might be taking into account: number of people affected by debris (example : 1 million people/60% of the population of a city affected by debris)",Affected population,Number and Percentage,,,,,,,,Surveys,not available,Number of crisis-hit people,Number of crisis-hit people directly affected by rubble/ debris,,,,,,,,,,Yes,,,,
Output,R-9,Number and percentage of population directly affected by problematic rubble/debris,UN OCHA (United Nations Office for the Coordination of Humanitarian Affairs),,Early Recovery,Basic Infrastructure Restoration,"Debris or rubble is the material from the damage or destruction that results from some disasters. It includes wreckage from everything that could possibly be destroyed or damaged, as well as materials brought in by a catastrophic event. ""Problematic"" refers to situations where such debris causes immediate physical and psychological barriers for emergency relief and recovery activities.","The guidance per phase will specify alternatively roads, services, etc.: Depending on the situation and phase, the following might be taking into account: number of people affected by debris (example : 1 million people/60% of the population of a city affected by debris)",Affected population,Number and Percentage,,,,,,,,Surveys,not available,Number of crisis-hit people,Number of crisis-hit people directly affected by rubble/ debris,,,,,,,,,,Yes,,,,
No level,,Number of people with sustainable access to clean drinking water sources through DFID support,DFID (Department for International Development),UKAID,"Water, Sanitation, and Hygiene (WASH)",,"The bilateral results attributable to DFID will be those from direct investment in improved drinking water sources. The results are based on the ânumber of water points built or rehabilitatedâ multiplied by the ânumber of beneficiaries per water pointâ. An improved drinking-water source is defined as one that, by nature of its construction or through active intervention, is protected from outside contamination, in particular from contamination with faecal matter. Improved facilities include piped water into dwelling; piped water to yard/plot; public tap or standpipe; tubewell or borehole; protected dug well; protected spring; and rainwater. This indicator excludes temporary facilities constructed as part of humanitarian interventions and other temporary means of water provision (e.g. bottles). Permanent facilities constructed under humanitarian programmes should be included. The preferred data source for this indicator is programme data on direct beneficiaries and this should capture only individuals who have gained access to clean drinking water sources as defined within this methodology which they did not previously have. If alternative data sources are used, care must also be taken to establish the counterfactual - i.e. the number or proportion of people who already had access to clean drinking water sources according to the definitions outlined in this methodology. This may not always be clearcut. In the case of providing access to safe drinking water in urban areas, for example, individuals reached with the intervention may already have had some access to clean water but this access is now improved (and is now available perhaps for longer periods of time, at a smaller distance or as a protected source). The judgement is whether the level of access has improved from not meeting the definitions within the methodology notes to now meeting the definitions after the intervention. Please make conservative estimates in this respect and contact the WASH policy team if clarification is required. Each individual should be counted only once, even if the same individual benefits from multiple interventions in different years. This indicator refers to sustainability. Measuring sustainability is challenging and would require monitoring well beyond the timespan of the DFID Results Framework. It therefore is not possible to require that all interventions are verified as sustainable. However, sustainability should be considered within project design and monitoring. Note that unlike the Joint Monitoring Programme (JMP), this indicator measures access rather than use. In this sense, the indicators are generally aligned with other DFID Results Framework indicators which are pitched at output rather than outcome level. Measuring use and attributing the results to DFID would be challenging and potentially more subjective.","Lack of water supply has negative impacts on poverty reduction, gender equity, child health, and education. Ensuring everyone has access to safe water supply is a high priority for the coalition government. ","Number of people with sustainable access to clean drinking water sources through DFID support Type of indicator: Cumulative - annual results are reported and summed over the entire reporting period, assuming that each individual is counted within one year only.",,,,"Baselines vary by country and âresults achieved between baseline and milestone 1â should be reported in the DRF template in addition to results for 2011/12 onwards where applicable. For projects, baseline data should be collected at the start of the project.",,Good performance will be if the project is on track to meet the target set out in the logframe,"Provision should be included in projects and programmes for the collection of data on improved access to water directly attributable to the intervention. This will normally be the primary source of data. Where water results are delivered through non-specific WASH programmes, for instance health, education, social development or livelihoods, projects will need to collect WASH data in addition to other project data. Data on household size, where needed, should be determined from recent national census data or from a nationally representative household survey. In the case of sector and budget support, output level data (i.e. the number of water points built/rehabilitated) is the preferred starting point before attributing DFIDâs share of results. If this is not available, national statistical data should be used but in this case, funding in the sector from other sources should be considered in addition to the government budget when calculating DFIDâs share of total expenditure . Water coverage is a key indicator that we would expect to be included in partner countries national statistical record and which would provide the basic data required. The Joint Monitoring Programme of WHO/UNICEF (http://www.wssinfo.org/) publishes a report every 2 years using data on use of improved water supply and basic sanitation from surveys and censuses. The resulting international database of coverage provides a useful reference to assess the validity of country data (but should not be used as a primary source, output level data is preferred). Where we are funding through multilateral partners at a country level, they should be requested to collect WASH specific data to demonstrate results achieved.",,,not available,,,"Country offices should report this on this indicator through the DFID Results Framework data collection system. In reporting on this indicator the country office will take primary responsibility for ensuring adequate baseline data is available and that programmes include suitable indicators and requirements for regular measurement. Where direct budget support or sector support is being provided, country offices should determine the share of national results that can be attributed to DFID support (see general guidance on the DRF teamsite). Use of figures on output level results (access to WASH services) is preferred.","Indicator = (c+r) x b where: c = number of water points constructed r = number of water points rehabilitated b = number of beneficiaries per water point A common example of b is where b = n x h n = average number of households served by each water point h = average number of people per householdi . In many cases, multipliers âbâ for a variety of interventions will have been developed in each country. For example, the value of b will differ for different types of water point constructed and in different locations. WASH results achieved through DFID core funding to multilateral organisations will be considered separately, following an agreed approach across DFID. Only bilateral results (including âbilateral through a multilateralâ) should be included in the DRF template. It is important to avoid double counting of results. If the same people are beneficiaries in multiple years then the results for each year cannot be added together. It is unlikely that this will be the case with providing clean water facilities but any potential areas of double counting should be considered. However if the number of people able to access water points increases over the life of the programme/project the larger number can be used when reporting results. Where countries are supporting clean water provision through multiple funding mechanisms e.g. nonGovernment programmes, sector budget support and general budget support there are significant risks of double counting. Calculations to avoid this can be complex. Please contact the statistics lead on WASH for further advice. Where facilities are provided within public buildings such as schools or clinics but are not freely accessible to a community, the number of people reached cannot be included in this access indicator as their access is considered partial, in contrast to household access. Data on these kinds of facilities should be collected for project monitoring but should not be included in the DRF template. However, facilities provided within a community which can be accessed freely by all members of that community (e.g. a shared, protected spring) may be included. Judgement may be required and the WASH team can provide advice if necessary. Note that this calculation does not include a measure of whether the water sources remain in use after a given period of time, i.e. it does not include a measure of the sustainability of the intervention. This data should be collected where possible for project monitoring purposes",,Data collection and analysis is likely to take a minimum of six to twelve months. Results achieved in previous years should be reported against that year as data becomes available.,"It is recognised that the quality of data available to estimate the number of unique people reached with access to clean drinking water as defined in this note will vary. Please indicate any concerns in this respect in the results template. The JMP of UNICEF/World Health Organisation collates and analyses data on use of water and sanitation facilities from a range of developing countries every 2 years. JMP uses national sources of data and a common indicator definition to estimate progress in the sector. This provides an independent assessment of countryâs own estimates of progress. Please note that this is a complementary, quality assurance measure which may not be directly comparable with DFIDâs indicators.","It is important to note that DFIDâs methodology is consistent with the approach used by national government and multilateral organisations but is different to the JMP methodology that measures the number of people using improved sources of water. The JMP methodology includes people who gain access through self -supply but does not include people who live near an improved source but are excluded from using it for social, economic or other reasons.",,"DFID provides 10% of the cost of a programme that has constructed 4,000 improved water sources and rehabilitated 1,000 water sources. Data shows that each serves an average of 50 households of average size 6 people. Indicator = 0.1 x (4,000 + 1,000) x 50 x 6 = 150,000",,,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/540035/clean-drinking-water16.pdf https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/540059/WatSan-composite15.pdf,,
Output,EG.3.1-12-1,"Number of agricultural and nutritional enabling environment policies analyzed, consulted on, drafted or revised, approved, and implemented with USG assistance",USAID (U.S. Agency for International Development),,Economic and Market Development,,"The indicator counts the number of agriculture and nutrition policies related to the institutional architecture for improved policy formulation, the enabling environment for private sector investment, agricultural trade, agriculture input provision, land and natural resource management, or food and nutrition that have completed one or several of the following 5 steps or processes: 1. Underwent analysis (review of existing policy and/or proposal of new policy);  2. Underwent public debate and/or consultation with stakeholders on the proposed new or revised policy. This can also include proposed repeal of an existing policy;  3. Were newly drafted or revised;  4. Received official approval (legislation/decree) by the relevant authority (legislative or executive body) of a new, revised, or repealed policy;  5. Were fully and effectively implemented by the relevant authority (this includes USG support to implementing the effective repeal of a policy).  Policies can include laws, legal frameworks, regulations, administrative procedures, or institutional arrangements.  Note that the indicator has been revised to acknowledge that these processes are not always linear: newly drafted laws can be defeated by a legislative body and require redrafting or new analysis; or approved regulations can prove difficult to implement and need to be revised. Because of this non-linear approach, double-counting is no longer a concern and is in fact appropriate: Operating Units should indicate if multiple processes/steps were completed in a given year, as this more accurately represents work under a given activity. The disaggregate âTotal policies passing through one or more processes/steps of policy changeâ will count the total number of policies that completed any process/step, regardless of the number of processes/steps each policy completed during the reporting year.   ","This indicator measures the number of policies (disaggregated by policy area) completing the various processes/steps required to create an enhanced enabling environment for agriculture and nutrition. This indicator is easily aggregated upward from all operating units. On the Feed the Future (FTF) Results Framework, this indicator contributes to Intermediate Result (IR) 1: Improved Agriculture Productivity and Sub IR 1.3: Improved Agricultural Policy Environment.",Number,,,,,,,Implementing partners collect this indicator through observation and analysis of host government legal status of the various policies being addressed.,,,Annual ,,,,,"This indicator is used to report progress in the FTF/BFS portfolio reviews, in the FTF country pages, and in the summary report on policy matrices (BFS/ARP/Policy).",,,,,,,,EG.3.1,,,
Outcome,EG.3.1-12-2,"Number of agricultural and nutritional enabling environment policies analyzed, consulted on, drafted or revised, approved, and implemented with USG assistance",USAID (U.S. Agency for International Development),,Economic and Market Development,,"The indicator counts the number of agriculture and nutrition policies related to the institutional architecture for improved policy formulation, the enabling environment for private sector investment, agricultural trade, agriculture input provision, land and natural resource management, or food and nutrition that have completed one or several of the following 5 steps or processes: 1. Underwent analysis (review of existing policy and/or proposal of new policy);  2. Underwent public debate and/or consultation with stakeholders on the proposed new or revised policy. This can also include proposed repeal of an existing policy;  3. Were newly drafted or revised;  4. Received official approval (legislation/decree) by the relevant authority (legislative or executive body) of a new, revised, or repealed policy;  5. Were fully and effectively implemented by the relevant authority (this includes USG support to implementing the effective repeal of a policy).  Policies can include laws, legal frameworks, regulations, administrative procedures, or institutional arrangements.  Note that the indicator has been revised to acknowledge that these processes are not always linear: newly drafted laws can be defeated by a legislative body and require redrafting or new analysis; or approved regulations can prove difficult to implement and need to be revised. Because of this non-linear approach, double-counting is no longer a concern and is in fact appropriate: Operating Units should indicate if multiple processes/steps were completed in a given year, as this more accurately represents work under a given activity. The disaggregate âTotal policies passing through one or more processes/steps of policy changeâ will count the total number of policies that completed any process/step, regardless of the number of processes/steps each policy completed during the reporting year.   ","This indicator measures the number of policies (disaggregated by policy area) completing the various processes/steps required to create an enhanced enabling environment for agriculture and nutrition. This indicator is easily aggregated upward from all operating units. On the Feed the Future (FTF) Results Framework, this indicator contributes to Intermediate Result (IR) 1: Improved Agriculture Productivity and Sub IR 1.3: Improved Agricultural Policy Environment.",Number,,,,,,,Implementing partners collect this indicator through observation and analysis of host government legal status of the various policies being addressed.,,,Annual ,,,,,"This indicator is used to report progress in the FTF/BFS portfolio reviews, in the FTF country pages, and in the summary report on policy matrices (BFS/ARP/Policy).",,,,,,,,EG.3.1,,,
